"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J6,J3";"PinHeader_1x02_P2.54mm_Vertical";2;"12V";;;
2;"S1";"PinHeader_1x02_P2.54mm_Vertical";1;"SM1";;;
3;"J4,J1";"PinHeader_1x02_P2.54mm_Vertical";2;"5V";;;
4;"J5,J2";"PinHeader_1x03_P2.54mm_Vertical";2;"I2C";;;
5;"P2,P1,P0";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";3;"br";;;
6;"C1";"C_Disc_D4.3mm_W1.9mm_P5.00mm";1;"0.01uF";;;
7;"H1,H2,H3,H4";"MountingHole_3.5mm";4;"MountingHole";;;
8;"R1,R2,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"10K";;;
9;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10k";;;
10;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"4.7K";;;
11;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1K";;;
12;"U1";"DIP-28_W7.62mm_Socket";1;"MCP23017_SP";;;
13;"U2,U3,U4,U5";"DIP-14_W7.62mm_Socket";4;"LM324A";;;
14;"T1,T3,T5,T7";"PinHeader_1x02_P2.54mm_Vertical";4;"I/O";;;
15;"S2";"PinHeader_1x02_P2.54mm_Vertical";1;"SM2";;;
16;"S3";"PinHeader_1x02_P2.54mm_Vertical";1;"SM3";;;
17;"S4";"PinHeader_1x02_P2.54mm_Vertical";1;"SM4";;;
18;"S5";"PinHeader_1x02_P2.54mm_Vertical";1;"SM5";;;
19;"S6";"PinHeader_1x02_P2.54mm_Vertical";1;"SM6";;;
20;"S7";"PinHeader_1x02_P2.54mm_Vertical";1;"SM7";;;
21;"S8";"PinHeader_1x02_P2.54mm_Vertical";1;"SM8";;;
